Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
SIDEN cherche 4 ingénieurs en génie mécanique,SIDEN,Jorf Lasfar,Construction,CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Communication, Rigueur",https://www.dreamjob.ma/emploi/siden-cherche-4-ingenieurs-en-genie-mecanique/
L’Université Internationale de Casablanca recrute des Professeurs en Génie Mécanique,L’Université Internationale de Casablanca,Casablanca,Recherche scientifique,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/luniversite-internationale-de-casablanca-recrute-des-professeurs-en-genie-mecanique/
SIDEN Recrute: Ingénieurs en Construction Métallique et Génie Mécanique,SIDEN,Non spécifié,Construction,Non spécifié,Non spécifié,1 an,Non spécifié,Non spécifié,"Créativité, Rigueur",https://www.dreamjob.ma/emploi/siden-recrute-ingenieurs-en-construction-metallique-et-genie-mecanique/
SCIF recrute des Ingénieurs Génie Mécanique,SCIF,Casablanca,Ferroviaire,Non spécifié,Non spécifié,Non spécifié,"CAO, Lean",Non spécifié,"Communication, Gestion de projet, Résolution de problèmes",https://www.dreamjob.ma/emploi/scif-recrute-des-ingenieurs-genie-mecanique/
Capgemini Engineering recrute 30 techniciens en génie mécanique,Capgemini Engineering,Casablanca,"Automobile, Aéronautique, Ferroviaire, Plasturgie, Énergie",Non spécifié,Bac+2,50 ans,"CATIA, NX","Français, Anglais",Organisation,https://www.dreamjob.ma/emploi/capgemini-engineering-recrute-30-techniciens-en-genie-mecanique/
Chantiers et Ateliers du Maroc recrute des Techniciens en Génie Mécanique,Chantiers et Ateliers du Maroc,Casablanca,Naval,Non spécifié,Non spécifié,1 an,"Autocad, Ms project",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/chantiers-et-ateliers-du-maroc-recrute-des-techniciens-en-genie-mecanique/
"CEC ouvre des postes en génie civil, mécanique et électrique",CEC,Non spécifié,"Construction, Minier",Non spécifié,Non spécifié,6 ans,Non spécifié,Non spécifié,"Leadership, Rigueur",https://www.dreamjob.ma/emploi/cec-ouvre-des-postes-en-genie-civil-mecanique-et-electrique/
Dama recrute un Ingénieur en Maintenance et Assemblage Mécanique sur Casablanca,Dama,Casablanca,Non spécifié,CDI,Non spécifié,30 ans,Non spécifié,Anglais,Communication,https://www.dreamjob.ma/emploi/dama-recrute-un-ingenieur-en-maintenance-et-assemblage-mecanique-sur-casablanca/
Safran Recrute des Ingénieurs en Mécanique et Aéronautique F/H,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ABAQUS, ANSYS, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non spécifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-en-mecanique-et-aeronautique-f-h/
Safran recherche activement des Ingénieurs Mécaniques et Aéronautiques,Non spécifié,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ABAQUS, ANSYS, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non spécifié,Communication,https://www.dreamjob.ma/emploi/safran-recherche-activement-des-ingenieurs-mecaniques-et-aeronautiques/
Capgemini Engineering recrute des Ingénieurs Juniors en Mécanique,Capgemini Engineering,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",Non spécifié,Non spécifié,50 ans,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/capgemini-engineering-recrute-des-ingenieurs-mecaniques/
NTC recrute des Ingénieurs Conception Mécanique,NTC,Casablanca,Non spécifié,Non spécifié,Non spécifié,3 ans,Conception mécanique,Non spécifié,"Communication, Polyvalence, Proactivité",https://www.dreamjob.ma/emploi/ntc-recrute-ingenieurs-conception-mecanique/
SEGULA Technologies recrute des Ingénieurs Mécaniques et Industriels Débutants,SEGULA Technologies,Kénitra,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Innovation, Travailler en équipe",https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-ingenieurs-mecaniques-et-industriels/
Safran recrute des Ingénieurs Mécanique,Safran,Casablanca,"Automobile, Aéronautique",Stage,Non spécifié,Non spécifié,"ABAQUS, ANSYS, Autocad, CATIA, ICEM, NASTRAN, Patran, SAMCEF, SAP, SOLIDWORKS",Non spécifié,Communication,https://www.dreamjob.ma/emploi/safran-recrute-des-ingenieurs-mecanique/
Akkodis recrute des Ingénieurs Mécanique Juniors,Akkodis,Casablanca,Automobile,CDI,Bac+5,Non spécifié,Robotique,Anglais,"Autonomie, Communication, Initiative, Innovation, Rigueur",https://www.dreamjob.ma/emploi/akkodis-recrute-ingenieurs-mecanique/
Expleo Group recrute des Ingénieurs Mécanique sur Tanger,Expleo Group,Tanger,Automobile,Non spécifié,Non spécifié,4 ans,CATIA,Non spécifié,Autonome,https://www.dreamjob.ma/emploi/expleo-group-recrute-des-ingenieurs-mecanique/
SEGULA Technologies recrute des Ingénieurs Mécanique Débutants,SEGULA Technologies,Agadir,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Bac+5,2 ans,"CAO, CATIA, DAO","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/segula-technologies-des-ingenieurs-mecanique-debutants/
Stage en électromécanique et poste de coursier à pourvoir chez Intersig Maroc,Non spécifié,Dar Bouazza,"Construction, Procédés",Stage,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/stage-en-electromecanique-et-poste-de-coursier-a-pourvoir-chez-intersig-maroc/
SNCE recrute un Ingénieur Travaux et un Technicien GC,SNCE,Non spécifié,Non spécifié,CDI,"Bac+3, bac+5",2 à 5 ans,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/snce-recrute-un-ingenieur-travaux-et-un-technicien-gc/
First Plastics ouvre des opportunités en ingénierie commerciale,First Plastics,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/first-plastics-ouvre-des-opportunites-en-ingenierie-commerciale/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,Énergie,CDI,Non spécifié,20 ans,Non spécifié,Français,"Innovation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Speedy Camel is hiring a Junior Bookkeeper in Marrakesh,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/speedy-camel-is-hiring-a-junior-bookkeeper-in-marrakesh/
