Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Technicien Mécanicien,Batifer,Mohammedia,Btp,CDI,Bac+5,Expérience entre 2 ans et 5 ans et plus,BTP,Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-mecaniien-mohammedia-9403945
Technicien en Fabrication Mécanique,Tectra,Casablanca,Non spécifié,Intérim,Bac+2,"Etudiant, jeune diplômé","Fabrication,Fabrication Mécanique,Maintenance,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-fabrication-mecanique-casablanca-9441300
Technicien Electromécanique/Mécanique,Tectra,Casablanca,Non spécifié,Intérim,Bac+2,"Etudiant, jeune diplômé","Maintenance,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-electromecaniquemecanique-casablanca-9425935
Inspecteur Mécanique,Briqueterie Jbel Annour,Mohammedia,Non spécifié,CDI,Bac+5,Expérience entre 2 ans et 5 ans et plus,"Entretien,Maintenance,Mécanique,Sécurité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/inspecteur-mecanique-mohammedia-9001489
Préparateur Mécanique,Briqueterie Jbel Annour,Mohammedia,"Btp, Construction",CDI,Bac+5,Expérience entre 2 ans et 5 ans et plus,"BTP,Construction",Non spécifié,Organisation,https://www.emploi.ma/offre-emploi-maroc/preparateur-mecanique-mohammedia-9403261
Chargé de Maintenance et Entretien (mécanique),Tectra Casa Tertiaire – Recrutement,Casablanca,Btp,CDI,Bac+5,Débutant < 2 ans et plus,"Communication,Électromécanique,Génie Électrique,Maintenance,Maintenance Industrielle,Production,Qualité,Techniques de Maintenance",Non spécifié,Communication,https://www.emploi.ma/offre-emploi-maroc/charge-maintenance-entretien-mecanique-casablanca-9367962
Responsable Contrôle et Sécurité,Salam Gaz,Tout Le Maroc,Non spécifié,CDI,Bac+5,Expérience entre 2 ans et 5 ans,"Hydraulique,Hydraulique Pneumatique,Maintenance,Maintenance Hydraulique,Mécanique Hydraulique,Pneumatique,Qualité,Qualité Mécanique",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/responsable-controle-securite-tout-maroc-9467201
Technicien de Maintenance,Salam Gaz,Tout Le Maroc,Non spécifié,CDI,Bac+5,Expérience entre 2 ans et 5 ans,"Hydraulique,Hydraulique Pneumatique,Industrie,Maintenance,Mécanique Hydraulique,Pneumatique,Production,Qualité,Qualité Mécanique",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-tout-maroc-9446292
Mécanicien de Maintenance Industrielle,Tectra Casa Bourgogne – Recrutement,Casablanca,Non spécifié,Intérim,Bac+5,Expérience entre 2 ans et 5 ans et plus,"Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Industrielle,Production,Qualité,Qualité Mécanique,Réparation",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/mecanicien-maintenance-industrielle-casablanca-9440716
Technicien de Maintenance - Sala Al Jadida,Lear Automotive Morocco,Parc Technopolis Rabat,Non spécifié,CDI,Bac+2,Expérience entre 2 ans et 5 ans,"Automatisme,Automatisme Mécanique,Dessin Industriel,DU,Électromécanique,Électronique,Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Électronique,Processus,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/technicien-maintenance-sala-al-jadida-parc-technopolis-rabat-8299955
Maintenance Technician - Sala Al Jadida,Lear Automotive Morocco,Parc Technopolis Rabat,Non spécifié,CDI,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,"Automatisme,Automatisme Mécanique,Dessin Industriel,DU,Électromécanique,Électronique,Machines,Maintenance,Maintenance Industrielle,Maintenance Préventive,Mécanique Électronique,Processus,Production,Qualité",Non spécifié,Non spécifié,https://www.emploi.ma/offre-emploi-maroc/maintenance-technician-sala-al-jadida-parc-technopolis-rabat-9165261
