Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
Technicien Chargé des pistes (H/F),Sorec,Marrakech,"Construction, Génie Civil",CDI,Bac+2,0 an,Excel,Non spécifié,"Organisation, Innovation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-charge-des-pistes-hf-recrutement-sorec-marrakech-184586.html,0.0
Ingénieur Calcul Structures Métalliques,Capgemini Engineering,Casablanca,"Construction, Génie Civil",CDI,Bac+3,3 à 5 ans,"RDM, ERP, Excel",Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-calcul-structures-metalliques-recrutement-capgemini-engineering-casablanca-184549.html,4.0
Adjoint Responsable Service Après-Vente,Auto Nejma Maroc S.A.,Rabat,"Automobile, Motos, Cycles",CDI,Bac+5,1 à 3 ans,Excel,Français,"Communication, Travail en équipe, Rigueur, Organisation, Innovation, Sens de l'organisation, Réactivité",https://www.rekrute.com/fr/offre-emploi-adjoint-responsable-service-apres-vente-recrutement-auto-nejma-maroc-s.a.-rabat-184485.html,2.0
Ingénieur Procédés industriels,Lesieur Cristal,Casablanca,Agroalimentaire,CDI,Bac+5,3 à 5 ans,"GMAO, SAP, Excel",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Créativité, Leadership, Gestion de projet, Innovation, Adaptabilité, Relationnel, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-ingenieur-procedes-industriels-recrutement-lesieur-cristal-casablanca-184455.html,4.0
Technicien chargé de sols équestres (H/F),Sorec,El jadida,"Construction, Génie Civil",CDI,Bac+3,0 an,"Autocad, Excel",Non spécifié,"Organisation, Innovation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-charge-de-sols-equestres-hf-recrutement-sorec-el-jadida-184451.html,0.0
Acheteur Industriel,Manpower Agences,Casablanca,Energie,Intérim,Bac+3,1 à 3 ans,"SAP, ERP, Excel","Français, Anglais","Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-acheteur-industriel-recrutement-manpower-agences-casablanca-184448.html,2.0
Chef de Service Après-Vente et Magasin Pièces de Rechange,Groupe Smeia,Oujda,"Automobile, Motos, Cycles",CDI,Bac+5,5 à 10 ans,Excel,Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-chef-de-service-apres-vente-et-magasin-pieces-de-rechange-recrutement-groupe-smeia-oujda-184411.html,7.5
Technicien Fabrication,Cosumar,Sidi bennour,Agroalimentaire,Non spécifié,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-fabrication-recrutement-cosumar-sidi-bennour-184380.html,0.0
Technicien Process,Cosumar,Ksar El Kébir,Agroalimentaire,Non spécifié,Bac+3,0 an,Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-process-recrutement-cosumar-ksar-el-kebir-184378.html,0.0
Responsable de Site,Meski Invest - Riva Industries,El jadida,"Automobile, Motos, Cycles",CDI,Bac+5,5 à 10 ans,Excel,Non spécifié,"Communication, Rigueur, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Relationnel, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-de-site-recrutement-meski-invest---riva-industries-el-jadida-184321.html,7.5
